Date,site_no,flow_cms,gage_id
1980-01-01,10154200,1.3025728,10154200
1980-01-02,10154200,1.3025728,10154200
1980-01-03,10154200,1.274256,10154200
1980-01-04,10154200,1.274256,10154200
1980-01-05,10154200,1.274256,10154200
1980-01-06,10154200,1.274256,10154200
1980-01-07,10154200,1.274256,10154200
1980-01-08,10154200,1.274256,10154200
1980-01-09,10154200,1.3025728,10154200
1980-01-10,10154200,1.2459392,10154200
1980-01-11,10154200,1.132672,10154200
1980-01-12,10154200,1.3875232,10154200
1980-01-13,10154200,1.7556416,10154200
1980-01-14,10154200,2.2087104,10154200
1980-01-15,10154200,2.12376,10154200
1980-01-16,10154200,2.0104928,10154200
1980-01-17,10154200,1.8689088,10154200
1980-01-18,10154200,1.7273247999999999,10154200
1980-01-19,10154200,1.5291071999999999,10154200
1980-01-20,10154200,1.4441568,10154200
1980-01-21,10154200,1.5007904,10154200
1980-01-22,10154200,1.3875232,10154200
1980-01-23,10154200,1.41584,10154200
1980-01-24,10154200,1.4724736,10154200
1980-01-25,10154200,1.5007904,10154200
1980-01-26,10154200,1.3875232,10154200
1980-01-27,10154200,1.41584,10154200
1980-01-28,10154200,1.41584,10154200
1980-01-29,10154200,1.41584,10154200
1980-01-30,10154200,1.3592064,10154200
1980-01-31,10154200,1.4724736,10154200
1980-02-01,10154200,1.5291071999999999,10154200
1980-02-02,10154200,1.5291071999999999,10154200
1980-02-03,10154200,1.5007904,10154200
1980-02-04,10154200,1.5007904,10154200
1980-02-05,10154200,1.41584,10154200
1980-02-06,10154200,1.4724736,10154200
1980-02-07,10154200,1.4724736,10154200
1980-02-08,10154200,1.3025728,10154200
1980-02-09,10154200,1.3025728,10154200
1980-02-10,10154200,1.3308896,10154200
1980-02-11,10154200,1.3592064,10154200
1980-02-12,10154200,1.3592064,10154200
1980-02-13,10154200,1.41584,10154200
1980-02-14,10154200,1.41584,10154200
1980-02-15,10154200,1.4441568,10154200
1980-02-16,10154200,1.4441568,10154200
1980-02-17,10154200,1.4724736,10154200
1980-02-18,10154200,1.5007904,10154200
1980-02-19,10154200,1.557424,10154200
1980-02-20,10154200,1.5857408,10154200
1980-02-21,10154200,1.5857408,10154200
1980-02-22,10154200,1.557424,10154200
1980-02-23,10154200,1.6140576,10154200
1980-02-24,10154200,1.4724736,10154200
1980-02-25,10154200,1.5007904,10154200
1980-02-26,10154200,1.557424,10154200
